ref,reason,address,city,state
"359310","MILITARY","1701 Florida 85","Eglin Air Force Base","FL"
"359332","MILITARY","1702 Florida 85","Eglin Air Force Base","FL"
"357554","NO_COORDS","725 17th St NW","Washington","DC"
"359484","MILITARY","551 West 4th St","Holloman Air Force Base","NM"
"358550","NO_COORDS","14750 Highway 95","Lake Havasu City","AZ"
"358512","NO_COORDS","Logal International Airport","Boston","MA"
"331941","NO_COORDS","Causeway Street","Boston","MA"
"358770","NO_COORDS","Mayport Naval Station","Jacksonville","FL"
"358740","MALL","132 Christiana Mall","Newark","DE"
"357905","NO_COORDS","Logan International Airport","Boston","MA"
"359035","NO_COORDS","700 W State Highway 302","Kermit","TX"
"359036","NO_COORDS","101 S Loop 464 Rd","Monahans","TX"
"353599","NO_COORDS","51 S Pearl St","Albany","NY"
"359109","AIRPORT","Midway Airport","Chicago","IL"
"358401","AIRPORT","Phoenix Sky Harbor Airport","Phoenix","AZ"
"356697","AIRPORT","Tucson Int'L Airport","Tucson","AZ"
"339260","STADIUM_ARENA","One Fleet Center","Boston","MA"
"346725","NO_COORDS","JFK Intl Airport","Jamaica","NY"
"345808","AIRPORT","Manchester Airport","Manchester","NH"
"336018","NO_COORDS","Mile 105 Mass Turnpike","Westborough","MA"
"349369","STADIUM_ARENA","One Metlife Stadium Dr","E Rutherford","NJ"
"349415","NO_COORDS","Rt 395 Southbound","Plainfield","CT"
"357836","AIRPORT","Laguardia Airport","Queens","NY"
"302723","NO_COORDS","2360 Cranberry Hwy","Wareham","MA"
"356521","AIRPORT","Logan Aiport","Boston","MA"
"357906","AIRPORT","Logan Airport","East Boston","MA"
"345949","NO_COORDS","135-04 Jamaica Ave","Richmond Hill","NY"
"349437","MALL","654 Millcreek Mall","Erie","PA"
"349431","NO_COORDS","720 Route 95 North","Madison","CT"
"349429","NO_COORDS","3 Wilbur Cross Parkway NB","Orange","CT"
"300254","NO_COORDS","103 Broad St","Nashua","NH"
"301582","NO_COORDS","3052 Cranberry Hwy","Buzzards Bay","MA"
"354098","AIRPORT","Wichita Airport","Wichita","KS"
"330003","MILITARY","Hanscom Air Force Base","Bedford","MA"
"354039","NO_COORDS","2435 State Road 207","Saint Augustine","FL"
"332744","AIRPORT","Tf Green Airport","Warwick","RI"
"350535","AIRPORT","Newark Int'L Airport","Newark","NJ"
"337626","NO_COORDS","6 Horse Corner Rd","Chichester","NH"
"351901","AIRPORT","Blue Grass Airport","Lexington","KY"
"335014","NO_COORDS","8775 Bay Pkwy","Brooklyn","NY"
"350652","AIRPORT","JFK Intl Airport","Jamaica","NY"
"306504","NO_COORDS","1205 Tolland Tpke","Manchester","CT"
"348380","AIRPORT","Albany International Airport","Albany","NY"
"350746","NO_COORDS","4705 Holmes Avenue NW","Huntsville","AL"
"342230","NO_COORDS","Logan Airport","East Boston","MA"
"342231","AIRPORT","Logan Airport","East Boston","MA"
"301760","NO_COORDS","809B Route 50","Burnt Hills","NY"
"356918","NO_COORDS","JFK Intl Airport","Jamaica","NY"
"356917","AIRPORT","JFK Intl Airport","Jamaica","NY"
"343654","NO_COORDS","4 Jersey Street","Boston","MA"
"348469","AIRPORT","Hartsfield Jackson Atl Airport","Atlanta","GA"
"348496","NO_COORDS","1563 Main Street","Chatham","MA"
"348515","NO_COORDS","Cleveland Hopkins Int'L Airport","Cleveland","OH"
"350841","NO_COORDS","12379 Edgemere Blvd","El Paso","TX"
"350843","NO_COORDS","Dallas Love Field Airport","Dallas","TX"
"350848","NO_COORDS","Maryland Turnpike I-95","Aberdeen","MD"
"350844","NO_COORDS","Dallas Love Field Airport","Dallas","TX"
"342383","NO_COORDS","577 Main St","Sanford","ME"
"341050","NO_COORDS","10801 Grand Central Pkwy","East Elmhurst","NY"
"355756","NO_COORDS","600 Adios Dr","Washington","PA"
"342433","NO_COORDS","418 Kingston Road","Richmond","RI"
"341135","AIRPORT","Logan Airport","East Boston","MA"
"354506","AIRPORT","Newark Int'L Airport","Newark","NJ"
"300702","NO_COORDS","24740 Telegraph Rd","Southfield","MI"
"354557","MALL","85 Yorktown Shopping Center","Lombard","IL"
"358017","NO_COORDS","4990 E McNeese St","Lake Charles","LA"
